"U.M.","Nombre","Desc. item","MARCA","Referencia","Nombre archivo","Precio unitario","Existencia","Columna 1","Desc. detalle ext. 1","Extensión final"
"UND ","CREYON METALFIXx6col METALIZADOS p/FOMI","CREYON METALFIXx6col METALIZADOS p/FOMI","PRODUVARIOS S.A.","4368","4368.png","$8.503","92","1","GN ","Genérico"
"UND ","TONER H.P.Q6511X LJ 2410/20 10000 COPIAS","TONER H.P.Q6511X LJ 2410/20 10000 COPIAS","IMPRESISTEM","4373","4373.png","$388.064","52","4","GN ","Genérico"
"UND ","NAV BOLA BJ01421/2/3/5/6 DEC","NAV BOLA BJ01421/2/3/5/6 2ud DEC","INACOL S A S","4386","4386.png","$5.909","76","1","DORADO OR","Dorado Oro"
"UND ","NAV BOLA BJ01421/2/3/5/6 DEC","NAV BOLA BJ01421/2/3/5/6 2ud DEC","INACOL S A S","4386","4386.png","$5.909","76","1","FUCSIA ","Fucsia "
"UND ","NAV BOLA BJ01421/2/3/5/6 DEC","NAV BOLA BJ01421/2/3/5/6 2ud DEC","INACOL S A S","4386","4386.png","$5.909","76","1","PLATA ","Plata "
"UND ","ESCUADRA MAPED GEO FLEX KORES","ESCUADRA MAPED GEO FLEX 16cms KORES","MAPPED","4392","4392.png","$3.001","32","11","GN ","Genérico"
"UND ","MADERAS BOLA LISA NRO 9","MADERAS BOLA LISA NRO 9","MADERA ARTESANAL LA 15","4394","4394.png","$2.430","0","1","GN ","Genérico"
"UND ","OLEO FRANCO 37 ML","OLEO FRANCO 37 ML","FRANCO ARTE","4408","4408.png","$8.609","58","5","NARANJA ","Naranja"
"UND ","OLEO FRANCO 37 ML","OLEO FRANCO 37 ML","FRANCO ARTE","4408","4408.png","$8.609","58","1","AMR CAD C","Amarillo Cadmio"
"UND ","OLEO FRANCO 37 ML","OLEO FRANCO 37 ML","FRANCO ARTE","4408","4408.png","$8.609","58","1","NEGRO ","Negro"
"UND ","OLEO FRANCO 37 ML","OLEO FRANCO 37 ML","FRANCO ARTE","4408","4408.png","$8.609","58","7","RJO CADMI","Rojo Cadmio"
"UND ","OLEO FRANCO 37 ML","OLEO FRANCO 37 ML","FRANCO ARTE","4408","4408.png","$8.609","58","1","VD MANZAN","Verde Manzana"
"UND ","OLEO FRANCO 37 ML","OLEO FRANCO 37 ML","FRANCO ARTE","4408","4408.png","$8.609","58","1","AZUL ","Azul"
"UND ","OLEO FRANCO 37 ML","OLEO FRANCO 37 ML","FRANCO ARTE","4408","4408.png","$8.609","58","4","AZUL ","Azul"
"UND ","TINTA EPSON T063220(AZUL)320(RSD)420(AMARILLO)","TINTA EPSON T063220(AZL)320(RSD)420(AMR)","IMPRESISTEM","4409","4409.png","$25.157","52","1","AZUL ","Azul"
"UND ","TINTA EPSON T063220(AZUL)320(RSD)420(AMARILLO)","TINTA EPSON T063220(AZL)320(RSD)420(AMR)","IMPRESISTEM","4409","4409.png","$25.157","52","2","ROSADO ","Rosado "
"UND ","BOLÍGRAFO MARVY GEL RETRACTIL REF 700R 0.7","BOLIG MARVY GEL RETRACT REF 700R 0.7","BOLI","4410","4410.png","$996","84","21","AZUL ","Azul"
"UND ","PANALERA INFANTILES MEDIANAS Y GRANDES","PANALERA INFANTILES MEDIANAS Y GRANDES","RONDA","4433","4433.png","$2.700","0","6","GN ","Genérico"
"UND ","CUADERNO ARGOLLADO MARDEN PEQUEÑO 80hj/100uds","CUAD ARG MARDEN PEQ 80hj/100uds","MARDEN","4436","4436.png","$1.080","0","1","COOL CUAD","No subir"
"UND ","TINTA H.P.C9386/87/88 88 COLOR PG940 BA","TINTA H.P.C9386/87/88  88 COLOR PG940 BA","HEWLETTE PACKARD","4445","4445.png","$30.564","0","1","AZUL ","Azul"
"UND ","TINTA H.P.C9385AL 88 NEGRO K550 BAJO REND","TINTA H.P.C9385AL  88 NGR K550 BAJO REND","HEWLETTE PACKARD","4446","4446.png","$41.958","0","2","GN ","Genérico"
"UND ","CINTA PAPEL 45mts HAPPY","CINTA PAPEL 2cms x 45mts HAPPY","JAIS","4452","4452.png","$4.298","40","1","VINOTINTO","Vino tinto"
"UND ","NAV RENO LASO 104154B","NAV RENO LASO 104154B","NAVI","4460","4460.png","$15.748","56","1","GN ","Genérico"
"UND ","NAV BOTAS BORDADAS BUCILLA","NAV BOTAS BORDADAS BUCILLA","SEMPERTEX","4462","4462.png","$27.000","0","3","GN ","Genérico"
"UND ","NAV INSTALACION RENO 178206","NAV INSTALACION RENO 178206","NAVI","4464","4464.png","$11.101","32","2","GN ","Genérico"
"UND ","NAV ARLEQUIN MEDIO CUERPO","NAV ARLEQUIN MEDIO CUERPO","NAVI","4466","4466.png","$8.379","72","2","GN ","Genérico"
"UND ","NAV PICK 200681 FRUTAS ROJAS","NAV PICK 200681 FRUTAS ROJAS","NAVI","4471","4471.png","$1.938","60","2","GN ","Genérico"
"UND ","NAV FLOR FLQ03866G ARTIF DRD/NEGRO","NAV FLOR FLQ03866G ARTIF DRD/NEGRO","GIFT LATINOAMERICANA S.A.S","4472","4472.png","$4.847","4","13","GN ","Genérico"
"UND ","CUADERNO p/MAPAS MODELO","CUADERNO p/MAPAS MODELO","UNIVERSO PAPELERO","4483","4483.png","$1.944","0","49","GN ","Genérico"
"UND ","SELLO VINTAGE 10000","SELLO VINTAGE 10000","GUAR","4503","4503.png","$8.640","0","15","GN ","Genérico"
"UND ","PAPEL REGALO PRIMAVERA KRAF","PAPEL REGALO PRIMAVERA KRAF x100und","PAPELES PRIMAVERA","4510","4510.png","$1.296","0","1","MUJER ","Mujer "
"UND ","PAPEL REGALO PRIMAVERA KRAF","PAPEL REGALO PRIMAVERA KRAF x100und","PAPELES PRIMAVERA","4510","4510.png","$1.296","0","222","PERSONAJE","Personaje"
"UND ","NAV CINTA TB00880 ALAMBR 10Y HOJAS","NAV CINTA TB00880 ALAMBR 10Y HOJAS","INACOL S A S","4512","4512.png","$11.335","68","4","GN ","Genérico"
